# 
# Plain text to be used to modify SSB inputs to build SiteReadiness tables
# Useful to correct bugs and/or modify daily metric values for a given site or all sites
#
# Usage: For a given site, entries are filled as -> Site,Date,Metric,Color,Value
#        A modification for all sites should be entered as -> 'ALL SITES',Date,Metric,Color,Value
#
# Examples:
#
# T2_ES_CIEMAT,2009-02-10,Downtimes,pink,test
# ALL SITES,2009-02-12,Downtimes,white,test
#

T2_UK_SGrid_Bristol,2009-05-14,SAMAvailability,green,100%
T2_UK_SGrid_RALPP,2009-05-14,SAMAvailability,green,100%
T2_UK_London_IC,2009-05-11,Downtimes,green,Up
T2_UK_London_IC,2009-05-12,Downtimes,green,Up
T2_UK_London_IC,2009-05-15,Downtimes,green,Up
T2_UK_London_IC,2009-05-16,Downtimes,green,Up
T2_UK_London_IC,2009-05-17,Downtimes,green,Up
T2_UK_London_IC,2009-05-22,Downtimes,green,Up
T2_UK_London_IC,2009-05-23,Downtimes,green,Up
T2_UK_London_IC,2009-05-24,Downtimes,green,Up
T2_UK_London_IC,2009-05-25,Downtimes,green,Up
T2_UK_London_IC,2009-05-26,Downtimes,green,Up
T2_UK_London_IC,2009-05-27,Downtimes,green,Up
T2_UK_London_IC,2009-05-28,Downtimes,green,Up
T2_UK_London_IC,2009-06-01,Downtimes,green,Up
T2_UK_London_IC,2009-06-02,Downtimes,green,Up
T2_UK_London_IC,2009-06-03,Downtimes,green,Up
T2_UK_London_IC,2009-06-04,Downtimes,green,Up
T2_UK_London_IC,2009-06-05,Downtimes,green,Up
T2_UK_London_IC,2009-06-06,Downtimes,green,Up
T2_UK_London_IC,2009-06-07,Downtimes,green,Up
T2_UK_London_IC,2009-06-08,Downtimes,green,Up
T2_UK_London_IC,2009-06-09,Downtimes,green,Up
T2_UK_London_IC,2009-06-10,Downtimes,green,Up
T1_ES_PIC,2009-06-11,Downtimes,green,Up
T2_ES_CIEMAT,2009-07-01,Downtimes,brown,SD
T2_ES_CIEMAT,2009-07-02,Downtimes,brown,SD
T2_FI_HIP,2009-08-22,JobRobot,white,n/a
T2_FI_HIP,2009-08-23,JobRobot,white,n/a
T2_FI_HIP,2009-08-24,JobRobot,white,n/a
T2_FI_HIP,2009-08-25,JobRobot,white,n/a
T2_FI_HIP,2009-08-26,JobRobot,white,n/a
T2_FI_HIP,2009-08-27,JobRobot,white,n/a
T2_FI_HIP,2009-08-28,JobRobot,white,n/a
T2_FI_HIP,2009-08-29,JobRobot,white,n/a
T2_FI_HIP,2009-08-30,JobRobot,white,n/a
T2_FI_HIP,2009-08-31,JobRobot,white,n/a
T2_FR_IPHC,2009-08-09,Downtimes,brown,SD
T2_FR_IPHC,2009-08-10,Downtimes,brown,SD
T2_FR_IPHC,2009-08-11,Downtimes,brown,SD
T2_FR_IPHC,2009-08-12,Downtimes,brown,SD
T2_FR_IPHC,2009-08-13,Downtimes,brown,SD
T2_FR_IPHC,2009-08-14,Downtimes,brown,SD
T2_FR_IPHC,2009-08-15,Downtimes,brown,SD
T2_FR_IPHC,2009-08-16,Downtimes,brown,SD
T2_FR_IPHC,2009-08-17,Downtimes,brown,SD
T2_FR_IPHC,2009-08-18,Downtimes,brown,SD
T2_FR_IPHC,2009-08-19,Downtimes,brown,SD
T2_FR_IPHC,2009-08-20,Downtimes,brown,SD
T2_FR_IPHC,2009-08-21,Downtimes,brown,SD
T2_FR_IPHC,2009-08-22,Downtimes,brown,SD
T2_FR_IPHC,2009-08-23,Downtimes,brown,SD
T2_FR_IPHC,2009-08-24,Downtimes,brown,SD
T2_FR_IPHC,2009-08-25,Downtimes,brown,SD
T2_FR_IPHC,2009-08-26,Downtimes,brown,SD
T1_FR_CCIN2P3,2009-09-22,Downtimes,brown,SD
T1_FR_CCIN2P3,2009-09-23,Downtimes,brown,SD
T1_FR_CCIN2P3,2009-09-24,Downtimes,brown,SD
T1_FR_CCIN2P3,2009-09-28,Downtimes,brown,SD
T1_FR_CCIN2P3,2009-09-29,Downtimes,brown,SD
T1_FR_CCIN2P3,2009-09-30,Downtimes,brown,SD
T1_FR_CCIN2P3,2009-10-01,Downtimes,brown,SD
T2_FI_HIP,2009-10-15,SAMAvailability,white,n/a
