Country,Federation,Pledge Type,ALICE,% of Req.,ATLAS,% of Req.,CMS,% of Req.,LHCb,% of Req.,SUM,% of Req.
Japan,"ICEPP, Tokyo",Disk (Tbytes),,,2000,4%,,,,,2000,4%
Latin America,Latin America Federation,CPU (HEP-SPEC06),852,0%,7340,2%,20000,5%,8000,17%,36192,4%
Latin America,Latin America Federation,Disk (Tbytes),300,2%,236,0%,1202,4%,120,5%,1858,2%
Norway,UNINETT SIGMA Tier-2,CPU (HEP-SPEC06),,,3190,1%,,,,,3190,1%
Norway,UNINETT SIGMA Tier-2,Disk (Tbytes),,,490,1%,,,,,490,1%
Pakistan,Pakistan Tier-2 Federation,CPU (HEP-SPEC06),,,,,6365,2%,,,6365,2%
Pakistan,Pakistan Tier-2 Federation,Disk (Tbytes),,,,,260,1%,,,260,1%
Poland,Polish Tier-2 Federation,CPU (HEP-SPEC06),4670,2%,6050,2%,5290,1%,3190,7%,19200,2%
Poland,Polish Tier-2 Federation,Disk (Tbytes),325,3%,465,1%,330,1%,,,1120,1%
Portugal,LIP Tier-2 Federation,CPU (HEP-SPEC06),,,3000,1%,3000,1%,,,6000,1%
Portugal,LIP Tier-2 Federation,Disk (Tbytes),,,190,0%,170,1%,,,360,0%
Republic of Korea,"CHEP of KNU, Daegu",CPU (HEP-SPEC06),,,,,6870,2%,,,6870,2%
Republic of Korea,"CHEP of KNU, Daegu",Disk (Tbytes),,,,,510,2%,,,510,2%
Republic of Korea,"KISTI, Daejeon",CPU (HEP-SPEC06),600,0%,,,,,,,600,0%
Republic of Korea,"KISTI, Daejeon",Disk (Tbytes),50,0%,,,,,,,50,0%
Romania,Romanian Tier-2 Federation,CPU (HEP-SPEC06),17000,9%,16100,4%,,,4900,10%,38000,6%
Romania,Romanian Tier-2 Federation,Disk (Tbytes),1290,10%,1000,2%,,,40,2%,2330,4%
Russian Federation,Russian Data-Intensive GRID,CPU (HEP-SPEC06),20467,11%,29185,7%,31690,8%,61,0%,81403,8%
Russian Federation,Russian Data-Intensive GRID,Disk (Tbytes),1645,13%,2345,5%,2547,9%,5,0%,6542,7%
Slovak Republic,Slovak Tier2 Federation,CPU (HEP-SPEC06),4800,3%,4800,1%,,,,,9600,2%
Slovak Republic,Slovak Tier2 Federation,Disk (Tbytes),280,2%,250,1%,,,,,530,1%
Slovenia,SiGNET,CPU (HEP-SPEC06),,,15000,4%,,,,,15000,4%
Slovenia,SiGNET,Disk (Tbytes),,,900,2%,,,,,900,2%
Spain,ATLAS Federation,CPU (HEP-SPEC06),,,20600,5%,,,,,20600,5%
Spain,ATLAS Federation,Disk (Tbytes),,,2800,6%,,,,,2800,6%
Spain,CMS Federation,CPU (HEP-SPEC06),,,,,20000,5%,,,20000,5%
Spain,CMS Federation,Disk (Tbytes),,,,,1500,6%,,,1500,6%
Spain,LHCb Federation,CPU (HEP-SPEC06),,,,,,,2800,6%,2800,6%
Spain,LHCb Federation,Disk (Tbytes),,,,,,,1,0%,1,0%
Sweden,SNIC Tier-2,CPU (HEP-SPEC06),2820,1%,5050,1%,,,,,7870,1%
Sweden,SNIC Tier-2,Disk (Tbytes),400,3%,520,1%,,,,,920,1%
Switzerland,CHIPP,CPU (HEP-SPEC06),,,21400,5%,10400,3%,5200,11%,37000,4%
Switzerland,CHIPP,Disk (Tbytes),,,1142,2%,792,3%,216,9%,2150,3%
Taipei,Taiwan Analysis Facility Federation,CPU (HEP-SPEC06),,,3264,1%,1750,0%,,,5014,1%
Taipei,Taiwan Analysis Facility Federation,Disk (Tbytes),,,448,1%,290,1%,,,738,1%
Thailand,National e-Science Infrastructure Consortium,CPU (HEP-SPEC06),1000,1%,,,3000,1%,,,4000,1%
Thailand,National e-Science Infrastructure Consortium,Disk (Tbytes),200,2%,,,200,1%,,,400,1%
Turkey,Turkish Tier-2 Federation,CPU (HEP-SPEC06),,,5100,1%,4700,1%,,,9800,1%
Turkey,Turkish Tier-2 Federation,Disk (Tbytes),,,550,1%,350,1%,,,900,1%
UK,London Tier 2,CPU (HEP-SPEC06),,,11934,3%,10592,3%,778,2%,23304,3%
UK,London Tier 2,Disk (Tbytes),,,1499,3%,733,3%,1,0%,2233,3%
UK,NorthGrid,CPU (HEP-SPEC06),,,13689,4%,,,4375,9%,18064,4%
UK,NorthGrid,Disk (Tbytes),,,1720,4%,,,300,12%,2020,4%
UK,ScotGrid,CPU (HEP-SPEC06),,,7566,2%,,,1718,4%,9284,2%
UK,ScotGrid,Disk (Tbytes),,,951,2%,,,1,0%,952,2%
UK,SouthGrid,CPU (HEP-SPEC06),3800,2%,5772,1%,5008,1%,3223,7%,17803,2%
UK,SouthGrid,Disk (Tbytes),256,2%,725,1%,347,1%,300,12%,1628,2%
USA,Caltech CMS T2,CPU (HEP-SPEC06),,,,,14000,4%,,,14000,4%
USA,Caltech CMS T2,Disk (Tbytes),,,,,1000,4%,,,1000,4%
USA,Florida CMS T2,CPU (HEP-SPEC06),,,,,14000,4%,,,14000,4%
USA,Florida CMS T2,Disk (Tbytes),,,,,1000,4%,,,1000,4%
USA,Great Lakes ATLAS T2,CPU (HEP-SPEC06),,,17000,4%,,,,,17000,4%
USA,Great Lakes ATLAS T2,Disk (Tbytes),,,2200,4%,,,,,2200,4%
USA,LBNL ALICE Berkeley CA,CPU (HEP-SPEC06),12000,6%,,,,,,,12000,6%
USA,LBNL ALICE Berkeley CA,Disk (Tbytes),1050,8%,,,,,,,1050,8%
